title,company,experience,salary,location,description,skills,posted,salary_disclosed,min_experience,max_experience,work_mode,location_list,skills_list,min_salary,max_salary,salary_in_lacs
"Data Steward, Analyst/Associate",Goldman Sachs,0-3,,Bengaluru,"SKILLS & EXPERIENCE WE ARE LOOKING FOR Relevant experience in data management, sales re...","Automation, Data Management, Wealth Management, Mutual Funds, Reconciliation, Asset Management, Macros",3+ weeks ago,False,0,3,On-site,['Bengaluru'],"['Automation', 'Data Management', 'Wealth Management', 'Mutual Funds', 'Reconciliation', 'Asset Management', 'Macros']",,,False
Data Analyst,Wonderla Holidays,3-5,50000-80000 PA,Bengaluru,Preferred candidate profile,"D2C, Google Data Studio, R, Google Analytics, Power BI, Business Metrics, Campaign Analytics, Tableau",1 day ago,True,3,5,On-site,['Bengaluru'],"['D2C', 'Google Data Studio', 'R', 'Google Analytics', 'Power BI', 'Business Metrics', 'Campaign Analytics', 'Tableau']",50000.0,80000.0,False
Looking For immediate joiners - Lab Data Analyst-Python Programming,IQVIA,2-4,,Kolkata,"Job Title : Lab Data Analyst-Python ProgrammingSkill : Python programming, data analys...","Python Programming, Pyspark, Logical Approach, Python Data Analytics, Python Data, Python Scripting, Numpy",5 days ago,False,2,4,On-site,['Kolkata'],"['Python Programming', 'Pyspark', 'Logical Approach', 'Python Data Analytics', 'Python Data', 'Python Scripting', 'Numpy']",,,False
Data Analyst - 10th April - Virtual Interview - Pan India,Tata Consultancy Services,7-12,,"India, Bengaluru, Mumbai (All Areas)","Hands-on experience with Databricks, Amazon Redshift, and RESTful APIsRequired Technica...","Power BI, Tableau, Data Analysis, Business Intelligence, Data Analysis, Interviewing",3 days ago,False,7,12,On-site,"['India', 'Bengaluru', 'Mumbai (All Areas)']","['Power BI', 'Tableau', 'Data Analysis', 'Business Intelligence', 'Data Analysis', 'Interviewing']",,,False
"Auth Fraud Supervisor- Data Analyst, UIDAI/Bengaluru",National Institute for Smart Government (NISG),6-10,13-23 Lacs PA,Bengaluru,Education Qualification:• B. Tech /MCA /Engineering or• Bachelor's degree in Data Analy...,"Data Analysis, Fraud Management, Python, SQL, Fraud Analytics, R, Identity Fraud, Business Analysis",1 week ago,True,6,10,On-site,['Bengaluru'],"['Data Analysis', 'Fraud Management', 'Python', 'SQL', 'Fraud Analytics', 'R', 'Identity Fraud', 'Business Analysis']",13.0,23.0,True
Data Analyst,MNC,0-2,2.75-5 Lacs PA,"Pimpri-Chinchwad, Pune",We are looking for a motivated and detail-oriented Data Analyst (Fresher to 2yr) to joi...,"Google Sheets, Power BI, Ms Office, Data Analysis, Python, Large Databases, Google Data Studio, Data Vis",3 days ago,True,0,2,On-site,"['Pimpri-Chinchwad', 'Pune']","['Google Sheets', 'Power BI', 'Ms Office', 'Data Analysis', 'Python', 'Large Databases', 'Google Data Studio', 'Data Vis']",2.75,5.0,True
Data Analyst,MNC,0-2,2.75-5 Lacs PA,"Pimpri-Chinchwad, Pune",We are looking for a motivated and detail-oriented Data Analyst (Fresher to 2yr) to joi...,"Google Sheets, Power BI, Ms Office, SQL, Data Analysis, Large Databases, Google Data Studio, Data Vis",4 days ago,True,0,2,On-site,"['Pimpri-Chinchwad', 'Pune']","['Google Sheets', 'Power BI', 'Ms Office', 'SQL', 'Data Analysis', 'Large Databases', 'Google Data Studio', 'Data Vis']",2.75,5.0,True
Data Analyst (English Required),Peroptyx,0-5,,Remote,"For thousands of years, maps have provided humans with the knowledge they need to make ...","Data Analysis, English, Data Analysis, Data Mapping, Mapping",1 day ago,False,0,5,Remote,['Remote'],"['Data Analysis', 'English', 'Data Analysis', 'Data Mapping', 'Mapping']",,,False
DATA ANALYST,Godigi Infotech,Not Mentioned,Unpaid,Pune,Not Mentioned,Not Mentioned,Starts in 1-3 months,True,,,On-site,['Pune'],['Not Mentioned'],,,False
Data Analyst,Optum,3-5,15-20 Lacs PA,Bengaluru,"Description - ExternalOptum is a global organization that delivers care, aided by tech...","Data Analysis, Customer Journey Analytics, Adobe Analytics, Adobe, Data Analysis",2 days ago,True,3,5,On-site,['Bengaluru'],"['Data Analysis', 'Customer Journey Analytics', 'Adobe Analytics', 'Adobe', 'Data Analysis']",15.0,20.0,True
