title,company,experience,salary,location,description,skills,posted
"Data Steward, Analyst/Associate",Goldman Sachs,0-3 Yrs,,Bengaluru,"SKILLS & EXPERIENCE WE ARE LOOKING FOR Relevant experience in data management, sales re...","Automation, Data management, Wealth management, Analytical, Mutual funds, Reconciliation, Asset management, Macros",3+ weeks ago
Data Analyst,Wonderla Holidays,3-5 Yrs,"50,000-80,000 PA",Bengaluru,Preferred candidate profile,"D2C, Google Data Studio, R, Google Analytics, Power BI, business metrics, Campaign Analytics, Tableau",1 day ago
Looking For immediate joiners - Lab Data Analyst-Python Programming,IQVIA,2-4 Yrs,,Hybrid - Kolkata,"Job Title : Lab Data Analyst-Python ProgrammingSkill : Python programming, data analys...","PYTHON PROGRAMMING, Pyspark, Logical Approach, Python Data Analytics, Python Data, PYTHON SCRIPTING, Numpy, Analytics",5 days ago
Data Analyst - 10th April - Virtual Interview - Pan India,Tata Consultancy Services,7-12 Yrs,,"India, Bengaluru, Mumbai (All Areas)","Hands-on experience with Databricks, Amazon Redshift, and RESTful APIsRequired Technica...","Power BI, Tableau, Data Analytics, Analytics, Bi, Data analysis, Data, Interviewing",3 days ago
"Auth Fraud Supervisor- Data Analyst, UIDAI/Bengaluru",National Institute for Smart Government (NISG),6-10 Yrs,13-23 Lacs PA,Bengaluru,Education Qualification:• B. Tech /MCA /Engineering or• Bachelor's degree in Data Analy...,"Data Analysis, Fraud Management, Python, SQL, Fraud Analytics, R, Identity fraud, Business Analysis",1 week ago
Data Analyst,MNC,0-2 Yrs,2.75-5 Lacs PA,"Pimpri-Chinchwad, Pune",We are looking for a motivated and detail-oriented Data Analyst (Fresher to 2yr) to joi...,"Google Sheets, Power BI, MS Office, Data Analytics, Python, Large Databases, Google Data Studio, data vis",3 days ago
Data Analyst,MNC,0-2 Yrs,2.75-5 Lacs PA,"Pimpri-Chinchwad, Pune",We are looking for a motivated and detail-oriented Data Analyst (Fresher to 2yr) to joi...,"Google Sheets, Power Bi, MS Office, SQL, Data Analytics, Large Databases, Google Data Studio, data vis",4 days ago
Data Analyst (English Required),Peroptyx,0-5 Yrs,,Remote,"For thousands of years, maps have provided humans with the knowledge they need to make ...","Data Analysis, English, Data Analytics, Data Mapping, Analysis, Analytics, Mapping, Data",1 day ago
DATA ANALYST,Godigi Infotech,,Unpaid,Pune,,,Starts in 1-3 months
Data Analyst,Optum,3-5 Yrs,15-20 Lacs PA,Hybrid - Bengaluru,"Description - ExternalOptum is a global organization that delivers care, aided by tech...","Data Analytics, Customer Journey Analytics, Adobe Analytics, Adobe, Data analysis, Analytics, Data",2 days ago
Data Analyst,Jewelex India,1-3 Yrs,3-4 Lacs PA,Mumbai (All Areas),"Required Skills: . Advanced MS Excel (Pivot Tables, VLOOKUP / XLOOKUP, formulas, dashbo...","Data Analytics, Pivot Table, Power BI, VLOOKUP, Advanced Excel, HLOOKUP, SQL, Python",Just now
Data Analyst,CUMI,0-1 Yrs,4-6 Lacs PA,Chennai,"Build our analytical frameworks by predictive forecastingnew tool implementation, new m...","Automation Tools, Prompt Engineering, Ai Strategy, Data Visualization, Data Analytics, Machine Learning, Kpi Dashboards, Data",2 weeks ago
Data Analyst,Alstom,4-9 Yrs,,Bengaluru,"Supporting the lifecycle of analytics and automation solutions, from development to con...","data analyst, storytelling, rpa, data analytics, data analysis, sla, power bi, machine learning",1 week ago
Data Analyst,ti Steps,0-1 Yrs,3.5-6.5 Lacs PA,"Hyderabad, Chennai, Bengaluru",Strong proficiency in Python or R for data analysis and model building. . Hands-on expe...,"Data Analysis, Data Visualization, SQL, Power Bi, Data Cleansing, Tableau, Data Analytics, Analytics",1 week ago
Online Data Analyst Odia (IN),TELUS Digital,0-5 Yrs,,Remote,This freelance opportunity allows you to work at your own pace and from home. . A day i...,"Oriya, oriya speaker, odiya, Language Editing, Power BI, Artificial Intelligence, Content Writing, content",2 days ago
Data Analyst,Forvis Mazars,0-1 Yrs,,Hybrid - Pune(Kharadi),BE / B Tech in IT / ECE/EEE / AI/CSE streams He / she will work alongside a team of ana...,"Data Analytics, BI, Data Analysis, Tableau, SQL, Analysis, Analytics, Data",2 days ago
Data Analyst,eClerx,2-5 Yrs,,Bengaluru,". Bachelors degree in Data Science, Computer Science, Finance, Business Analytics, or a...","Automation, Power BI, Data Analytics, SQL, Python, Data Analysis, Tableau, Analytics",1 day ago
Data Analyst,Krazy Bee Services,2-3 Yrs,,Bengaluru,3 years of analytics experience preferably in fintechs is a plusYour information will o...,"Excel, Python, SQL, Data Analysis, Data Visualization, Data Analytics, Analytics, Analysis",2 days ago
Data Analyst,Kantar,0-4 Yrs,,Hyderabad,"Experience using web services and languages, including AWS, EC2, S3, Redshift, DigitalO...","Sql, Etl Tool, Power Bi, Data Mining, Machine Learning, Data Science, R, S",1 day ago
Data Analyst,Adani Group,2-4 Yrs,,Ahmedabad,Experience with Python programming language for automating tasks or developing custom s...,"Data Analysis, Power BI, KPI, Power Automate, Data Visualization, Advanced Excel, Data Analytics, Reporting",1 day ago
Data Analyst,MNC,0-1 Yrs,2.5-5 Lacs PA,"Pimpri-Chinchwad, Pune",. Freshers with relevant internships / projects can applyRequired Skills: . SQL (mandat...,"Power Bi, MS Office, SQL, Google Suite, Data Analytics, Large Databases, Google Data Studio, Data Management",3 weeks ago
Data Analyst,MNC,0-2 Yrs,2-5 Lacs PA,"Pimpri-Chinchwad, Pune",. Freshers with relevant internships / projects can applyRequired Skills: . SQL (mandat...,"Power Bi, MS Office, SQL, Google Suite, Data Analytics, Large Databases, Google Data Studio, Data Management",3 weeks ago
Data Analyst,Leaf Round,1-2 Yrs,,Bengaluru,"1 to 2 years of experience in Data Analytics, Business Analytics, or a similar roleExpe...","data analyst, pandas, analytics, data analytics, automation, business analytics, google sheets, capital markets",5 days ago
Data Analyst,LiveLike,,Unpaid,Gurugram,,,Starts in 1-3 months
Data Analyst,MNC Group,0-1 Yrs,6-7 Lacs PA,Gurugram,Preferred candidate profile Official communications will only come from @persolkelly.co...,"Artificial Intelligence, Advanced Excel, VBA, Macros, Python, Data analysis, Excel, Data",1 day ago
